"","X","url","number","term","textbook","ISBN","created_at","updated_at"
"38",38,"https://www.sfu.ca/outlines.html?2018/spring/crim/300w/c100","CRIM 300","Spring 2018","Explaining Criminals and Crime: Essays in Contemporary Criminological Theory (2001) Paternoster  Bachman&nbsp;&nbsp;&nbsp;","9780195329933",1460976085.62131,1496281875.20857
"39",39,"https://www.sfu.ca/outlines.html?2018/spring/crim/301/c100","CRIM 301","Spring 2018","Understanding Crime in Canada: An Introduction to Criminology (2015) Boyd","9781552396056",1461457820.86069,1496618123.57344
"40",40,"https://www.sfu.ca/outlines.html?2018/spring/crim/310/c100","CRIM 310","Spring 2018","Serious and Violent Young Offenders and Youth Criminal Justice: A Canadian Perspective (2015) Corrado-0-86491-373-9","978-0-86491-373-9",1461717857.49208,1496659566.52507
"41",41,"https://www.sfu.ca/outlines.html?2018/spring/crim/312/c100","CRIM 312","Spring 2018","Cannabis Policy - Moving Beyond Stalemate (2010) Room et al.","9780199581481",1462075200.80409,1496888553.81532
"42",42,"https://www.sfu.ca/outlines.html?2018/spring/crim/320/c100","CRIM 320","Spring 2018","SPSS Demystified: A Step-by-Step Guide to Successful Data Analysis. &nbsp;2nd edition&nbsp;(2011)","9780205735822",1462125869.88653,1497316887.42865
"43",43,"https://www.sfu.ca/outlines.html?2018/spring/crim/321/c100","CRIM 321","Spring 2018","Th Practice of Qualitative Research (2016) Hesse-Biber","9781452268088",1462223829.80419,1498054360.13526
"44",44,"https://www.sfu.ca/outlines.html?2018/spring/crim/330/c100","CRIM 330","Spring 2018","AN INTRODUCTION TO CANADIAN CRIMINAL PROCEDURE  EVIDENCE&nbsp;6th edit edition(2018)","9780176774295",1462232149.2479,1498113679.61938
"46",46,"https://www.sfu.ca/outlines.html?2018/spring/crim/335/c100","CRIM 335","Spring 2018","The Charter of Rights  Freedoms (2017) Kent  Sharpe","9781552214466",1462729904.79448,1498243381.44192
"47",47,"https://www.sfu.ca/outlines.html?2018/spring/crim/355/c100","CRIM 355","Spring 2018","Criminalistics An Intro To Forensice Science (2017) Saferstein","9781323680179",1463512671.28096,1498265212.31788
"49",49,"https://www.sfu.ca/outlines.html?2018/spring/crim/402/c100","CRIM 402","Spring 2018","Biological Explanations of Criminal Behaviour (2007) Anderson","9781420043310",1463611211.46544,1498364127.79463
"50",50,"https://www.sfu.ca/outlines.html?2018/spring/crim/432/c100","CRIM 432","Spring 2018","Gender in the Courts and the Legal Profession (2001) Brockman","9780774808354",1464559480.36041,1498552406.78446
"51",51,"https://www.sfu.ca/outlines.html?2018/spring/crim/480/c100","CRIM 480","Spring 2018","System Forensics Investigation and Response 3rd edit Easttom","9781284121841",1464705975.74847,1498658627.91944
"52",52,"https://www.sfu.ca/outlines.html?2018/spring/easc/104/c100","EASC 104","Spring 2018","Natural Hazards: Earth's Processes as Hazards Disasters and Catastrophes&nbsp;3rd Canadian edition(2014)","9780133076509",1464880786.20121,1498778789.80539
"53",53,"https://www.sfu.ca/outlines.html?2018/spring/econ/103/c100","ECON 103","Spring 2018","Economic Literacy: A Different Approach to Economic Principles (2017) Allen.","9781323761694",1464962601.19397,1499257603.34246
"54",54,"https://www.sfu.ca/outlines.html?2018/spring/educ/100w/c100","EDUC 100","Spring 2018","Making Sense In Education: A Student's Guide To Research And Writing (2012) Northey  Bradley.","9780199024964",1466474804.49784,1499476688.04772
"55",55,"https://www.sfu.ca/outlines.html?2018/spring/educ/100w/c200","EDUC 100","Spring 2018","Making Sense In Education: A Student's Guide To Research And Writing (2012) Northey  Bradley.","9780199024964",1467774393.73084,1500524802.73485
"57",57,"https://www.sfu.ca/outlines.html?2018/spring/educ/220/c100","EDUC 220","Spring 2018","Educational Psychology ( 2015 Custom Edition for SFU). Nesbit.","9781323320075",1468835874.644,1501483965.64958
"63",63,"https://www.sfu.ca/outlines.html?2018/spring/educ/326/c100","EDUC 326","Spring 2018","A Teacher's Guide To Cognitive Type Theory  Learning Style (1st Custom Course Pack edition 2006) Mamchur","9780840070883",1469181370.88829,1501622996.2811
"67",67,"https://www.sfu.ca/outlines.html?2018/spring/educ/422/c100","EDUC 422","Spring 2018","Handbook of Learning Disabilities (2nd Ed. 2014) Swanson et al.","9781462518685",1470226489.68401,1502094727.82862
"69",69,"https://www.sfu.ca/outlines.html?2018/spring/educ/446/c100","EDUC 446","Spring 2018","Canadian Family Law (Custom Coursepack 2014) Kronby","9780840071408",1470362713.2157,1502145821.83895
"71",71,"https://www.sfu.ca/outlines.html?2018/spring/educ/467/c100","EDUC 467","Spring 2018","Scaffolding Language Scaffolding Learning: Teaching English Language Learners in the Mainstream Classroom (2015 2nd ed.) Gibbons.","9780325056647",1470953955.68831,1502511583.44004
"74",74,"https://www.sfu.ca/outlines.html?2018/spring/educ/475/c100","EDUC 475","Spring 2018","Elementary  Middle School Mathematics - Teaching Developmentally (2017) Van de Walle et al.","9780134095912",1471244143.96102,1502570801.2152
