"","url","number","term","author","textbook","ISBN"
"28","https://www.sfu.ca/outlines.html?2018/spring/cmns/261/c100","CMNS 261","Spring 2018","","Communication Research: Strategies  Sources (2010 7th ed.) Rubin et al.","9.78E+12"
"31","https://www.sfu.ca/outlines.html?2018/spring/crim/101/c100","CRIM 101","Spring 2018","Boyd","Understanding Crime in Canada: An Intro to Criminology (2015) ","9.78E+12"
"32","https://www.sfu.ca/outlines.html?2018/spring/crim/103/c100","CRIM 103","Spring 2018","","Criminal Behaviour: A Psychological Approach (11th Ed. 2017)","9.78E+12"
"33","https://www.sfu.ca/outlines.html?2018/spring/crim/104/c100","CRIM 104","Spring 2018","","SOCIOLOGICAL EXPLANATIONS OF CRIME AND DEVIANCE CUSTOM PACKAGE (1st with Canvas e-Tutorial Code)) edition","9.78E+12"
"34","https://www.sfu.ca/outlines.html?2018/spring/crim/131/c100","CRIM 131","Spring 2018","Griffiths","Canadian Criminal Justice A Primer  Custom Digital Pac (5th Ed.) ","9.78E+12"
"35","https://www.sfu.ca/outlines.html?2018/spring/crim/135/c100","CRIM 135","Spring 2018","Boyd","Canadian Law An Introduction (2015) ","9.78E+12"
"36","https://www.sfu.ca/outlines.html?2018/spring/crim/205/c100","CRIM 205","Spring 2018","Kappeler  Potter","The Mythology of Crime  Criminal Justice (5th Ed.) 2018 ","9.78E+12"
"37","https://www.sfu.ca/outlines.html?2018/spring/crim/210/c100","CRIM 210","Spring 2018","Bell","Young Offenders and Youth Justice: A Century After the Fact (2015) ","9.78E+13"
"38","https://www.sfu.ca/outlines.html?2018/spring/crim/220/c100","CRIM 220","Spring 2018","Palys  Atchinson","Research Decisions: Quantitative Qualitative and Mixed-Method Approaches (5th Ed. 2014) ","9.78E+12"
"39","https://www.sfu.ca/outlines.html?2018/spring/crim/230/c100","CRIM 230","Spring 2018","Verdun-Jones","Criminal Law in Canada Cases Questions  the Code (2014) ","9.78E+12"
"40","https://www.sfu.ca/outlines.html?2018/spring/crim/241/c100","CRIM 241","Spring 2018","Griffiths","Canadian Corrections (2014) ","9.78E+12"
"41","https://www.sfu.ca/outlines.html?2018/spring/crim/300w/c100","CRIM 300","Spring 2018","Paternoster  Bachman","Explaining Criminals and Crime: Essays in Contemporary Criminological Theory (2001) ","9.78E+12"
"42","https://www.sfu.ca/outlines.html?2018/spring/crim/301/c100","CRIM 301","Spring 2018","Boyd","Understanding Crime in Canada: An Introduction to Criminology (2015) ","9.78E+12"
"43","https://www.sfu.ca/outlines.html?2018/spring/crim/310/c100","CRIM 310","Spring 2018","Corrado","Serious and Violent Young Offenders and Youth Criminal Justice: A Canadian Perspective (2015)","978-0-86491-373-9"
"44","https://www.sfu.ca/outlines.html?2018/spring/crim/312/c100","CRIM 312","Spring 2018","Room et al.","Cannabis Policy - Moving Beyond Stalemate (2010) ","9.78E+12"
"45","https://www.sfu.ca/outlines.html?2018/spring/crim/320/c100","CRIM 320","Spring 2018","","SPSS Demystified: A Step-by-Step Guide to Successful Data Analysis. 2nd edition (2011)","9.78E+12"
"46","https://www.sfu.ca/outlines.html?2018/spring/crim/321/c100","CRIM 321","Spring 2018","Hesse-Biber","The Practice of Qualitative Research (2016) ","9.78E+12"
"47","https://www.sfu.ca/outlines.html?2018/spring/crim/330/c100","CRIM 330","Spring 2018","","AN INTRODUCTION TO CANADIAN CRIMINAL PROCEDURE  EVIDENCE 6th edit edition(2018)","9.78E+12"
"49","https://www.sfu.ca/outlines.html?2018/spring/crim/335/c100","CRIM 335","Spring 2018","Kent  Sharpe","The Charter of Rights  Freedoms (2017) ","9.78E+12"
"50","https://www.sfu.ca/outlines.html?2018/spring/crim/355/c100","CRIM 355","Spring 2018","Saferstein","Criminalistics An Intro To Forensice Science (2017) ","9.78E+12"
"51","https://www.sfu.ca/outlines.html?2018/spring/crim/380/c100","CRIM 380","Spring 2018","Clough","Principle of Cybercrime ",""
"52","https://www.sfu.ca/outlines.html?2018/spring/crim/402/c100","CRIM 402","Spring 2018","Anderson","Biological Explanations of Criminal Behaviour (2007) ","9.78E+12"
